0,total_value
가,-0.21538079058589538
가게,0.14790286975717443
가격,0.38876301810635344
가격대,0.29848693259972486
가격표,-0.6000000000000001
가계,0.05882352941176472
가공,-0.4605263157894737
가관,-0.9649122807017543
가구,-0.10000000000000003
가구점,-0.4166666666666667
가급적,-0.5555555555555556
가까운,-0.2516556291390728
가까울,-0.3333333333333333
가까움,-0.6666666666666667
가까워,-0.07586206896551723
가까이,-0.5069582504970178
가깝,-0.25096525096525096
가꾸,0.5833333333333333
가끔,0.36150234741784043
가나,0.05263157894736842
가나다,0.5
가느다란,-0.4545454545454546
가늘,-0.3796791443850267
가늠,-0.2432432432432432
가능,0.017592592592592604
가닥,-0.8571428571428572
가동,-0.18181818181818182
가드,-0.4705882352941177
가득,-0.12212389380530975
가득차,-0.4285714285714286
가든,0.441860465116279
가디건,-0.17391304347826092
가뜩이나,-0.8
가라,-0.6444444444444444
가라아게,-0.0714285714285714
가라앉,-0.012658227848101278
가락,-0.8666666666666667
가랑,-0.6666666666666667
가랑이,-0.7052631578947368
가랭이,-0.6444444444444444
가량,-0.558139534883721
가려,-0.12840466926070038
가려서,-0.7777777777777777
가려야,-0.5384615384615385
가려운,-0.3333333333333333
가려움,-0.3176470588235294
가려움증,-0.21212121212121215
가려워,-0.6716417910447761
가려워서,-0.5454545454545454
가려져,-0.6551724137931034
가려져서,-0.18181818181818182
가려질,-0.07692307692307687
가렵,-0.40540540540540543
가로,-0.1732522796352584
가로길이,-0.18518518518518517
가로세로,-0.6428571428571428
가루,-0.5089285714285714
가르,-0.4285714285714286
가르쳐,-0.025641025641025605
가르침,0.2727272727272727
가리,-0.4163424124513619
가리개,-0.5
가리비,-0.8461538461538463
가릴,-0.2820512820512821
가림,-0.625
가만,-0.5555555555555556
가만히,-0.7011494252873562
가문,-0.29411764705882354
가미,0.23076923076923078
가바,-0.2631578947368421
가방,-0.21407963069821118
가방끈,-0.6516129032258065
가버리,-0.75
가벼우,0.5319148936170213
가벼운,0.22685185185185186
가벼운데,-0.09090909090909088
가벼움,0.29032258064516125
가벼워,0.3581661891117478
가벼워서,0.4364640883977901
가벼웠,0.28571428571428575
